date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,stochastic_obj
2025-09-22,1200.0,1200.0,39340.892351386574,8444.414360553748,47785.30671194032,63762.776807490765,2482.733657504131,40127.37267497551
2025-09-23,1200.0,1200.0,39092.93284487154,12835.460009401711,51928.39285427325,62226.80013633912,4059.429275582936,39964.16897341028
2025-09-24,1200.0,1200.0,41786.98053558322,1011.9987335265017,42798.979269109725,66628.14883923873,476.0534888955786,43004.85760177568
2025-09-25,1200.0,1200.0,41140.436271536026,1746.5770694659082,42887.01334100193,65078.80060164558,667.728481644579,42047.24594876813
2025-09-26,1200.0,1200.0,18170.356270986507,0.0,18170.356270986507,32901.55604408281,0.0,18541.68753788155
2025-09-27,1200.0,1200.0,18220.887349151253,2281.2783368119817,20502.165685963235,32905.42997299228,687.111111256782,18599.300573258202
2025-09-28,1200.0,1200.0,42400.79044693065,795.6116455532662,43196.40209248392,67607.78597108177,359.6426016450606,43048.552461169806
2025-09-29,1200.0,1200.0,40422.56601192828,7487.035861114565,47909.60187304284,64779.774863357,2110.8351726084325,41069.59299979622
2025-09-30,1200.0,1200.0,41223.01912717258,11917.574470001367,53140.593597173945,65442.584092750505,4368.893748633234,41958.569395927625
2025-10-01,1200.0,1200.0,43206.87441961009,0.0,43206.87441961009,68561.94249224124,0.0,44213.10441167842
2025-10-02,1200.0,1200.0,41735.95132587808,0.0,41735.95132587808,65676.4128855252,0.0,42745.48677348601
2025-10-03,1200.0,1200.0,17604.9621253844,0.0,17604.9621253844,32217.972302921815,0.0,18215.615130920745
2025-10-04,1200.0,1200.0,17823.868451773422,0.0,17823.868451773422,32621.86790435082,0.0,18693.955993447213
2025-10-05,1200.0,1200.0,42975.28571664001,0.0,42975.28571664001,68298.11337909495,0.0,43987.103334753956
2025-10-06,1200.0,1200.0,43514.66484983488,0.0,43514.66484983488,68604.42785516151,0.0,44469.19233044567
2025-10-07,1200.0,1200.0,44010.015930661364,0.0,44010.015930661364,69214.03892559583,0.0,44966.28224574674
2025-10-08,1200.0,1200.0,41007.96192611142,0.0,41007.96192611142,65897.53238014402,0.0,42979.569824229824
2025-10-09,1200.0,1200.0,39250.00607994119,0.0,39250.00607994119,62230.69215688992,0.0,41999.499290557105
2025-10-10,1200.0,1200.0,15579.363987598368,1471.780833805676,17051.144821404043,30331.65689304629,420.0285627484614,16731.07418443171
2025-10-11,1200.0,1200.0,16144.701791221773,773.608714157594,16918.310505379366,31130.363839269547,192.38114942180974,16377.81521978394
2025-10-12,1200.0,1200.0,38804.665740232886,396.2211105710742,39200.88685080396,63340.032418314615,187.49526319189718,39059.11376667127
2025-10-13,1200.0,1200.0,39196.295044866354,21.42898520392724,39217.72403007028,63373.355018075104,10.345120711137321,39377.37039854831
2025-10-14,1200.0,1200.0,40446.16378868704,599.6480999859489,41045.811888672986,65464.29983762828,239.23003045267114,40672.53886079048
2025-10-15,1200.0,1200.0,37117.46548821751,15743.727699067098,52861.1931872846,60374.248705017555,5799.396534243826,37454.37847425436
2025-10-16,1200.0,1200.0,37844.07336274166,18243.65390879166,56087.727271533324,61263.91432402046,6027.753582444628,39120.034809410616
2025-10-17,1200.0,1200.0,15880.504714877621,1774.26117683144,17654.76589170906,30697.76396682099,619.7729452916666,16326.375976384625
2025-10-18,1200.0,1200.0,16810.047523815025,0.0,16810.047523815025,32101.82675549478,0.0,17164.335953283506
2025-10-19,1200.0,1200.0,40971.214695817136,8163.067739496006,49134.282435313144,67010.1894995945,2288.8507986520553,42089.94558091122
2025-10-20,1200.0,1200.0,42794.69226736018,3478.097418300574,46272.789685660755,68876.78561394253,886.5815723436223,43184.87331244108
2025-10-21,1200.0,1200.0,44539.48915724433,0.0,44539.48915724433,70913.69925216465,0.0,44871.340735550126
2025-10-22,1200.0,1200.0,41224.18886564937,10989.406151908515,52213.595017557884,66522.87361893982,3319.4211665915523,41553.84218948744
2025-10-23,1200.0,1200.0,42304.92432158053,763.3066737550877,43068.23099533562,67943.93645504891,248.8744396445494,43206.96766969151
2025-10-24,1200.0,1200.0,16391.069694240454,3656.981939780184,20048.051634020638,31507.60425472325,1048.79633553138,16769.56666717464
2025-10-25,1200.0,1200.0,17573.911961973245,255.1742246026776,17829.08618657592,33197.8360142016,123.12229037499533,17771.16975109061
2025-10-26,1200.0,1200.0,44039.098133222404,0.0,44039.098133222404,70592.08560350977,0.0,44863.16652951586
